Chinese,1,36,E,心术,https://zh.wikipedia.org/wiki/%E5%BF%83%E6%9C%AF_(%E7%94%B5%E8%A7%86%E5%89%A7)
Chinese,1,49,E,新安家族,
Chinese,1,36,E,温州一家人,
Japanese,1,11,E,37歳で医者になった僕,http://www.ktv.jp/37doctor/index.html
Japanese,1,10,E,CHANGE,https://ja.wikipedia.org/wiki/CHANGE_(%E3%83%86%E3%83%AC%E3%83%93%E3%83%89%E3%83%A9%E3%83%9E)
Japanese,1,3,E,メイドインジャパン,http://www.nhk.or.jp/drama/madeinjapan/
Japanese,1,10,T,謎解きはディナーのあとで,http://www.fujitv.co.jp/nazotoki/index.html
American,1,13,C,Combat Hospital,http://www.globaltv.com/combathospital/
American,5,17,N,Kitchen Nightmares,http://www.fox.com/kitchennightmares/
American,3,13,C,Lie to Me,
American,2,18,N,Royal Pains,http://www.usanetwork.com/royalpains
British,3,8,N,Downton Abbey,http://www.pbs.org/wgbh/masterpiece/downtonabbey/
British,19,7,N,Top Gear,http://www.topgear.com/
Japanese,2,10,T,斉藤さん,http://www.ntv.co.jp/saito-san/
American,3,10,R,Game of Thrones,http://www.hbo.com/game-of-thrones
American,3,22,R,Nikita,http://www.cwtv.com/shows/nikita
Japanese,TV Anime,716,A,名探偵コナン,http://www.ytv.co.jp/conan/
American,23,6,A,Amazing Race(The),http://www.cbs.com/shows/amazing_race/
American,7,4,A,Big Bang Theory(The),http://www.cbs.com/shows/big_bang_theory/
American,14,6,A,Crime Scene Investigation,http://www.cbs.com/shows/csi/
American,1,7,A,Grey's Anatomy,http://abc.go.com/shows/greys-anatomy
American,3,4,A,Homeland,http://www.sho.com/sho/homeland/home
American,25,3,A,Simpsons(The),http://www.thesimpsons.com/
Japanese,2,5,A,リーガルハイ,http://www.fujitv.co.jp/legal-high/index.html
Japanese,1,4,A,ミス·パイロット,http://www.fujitv.co.jp/misspilot/index.html
